id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
21022119,21,Kentucky,KY,Adair County,Frankfort,Columbia city,Track,Track,40601,502,1099280,181404,38.1915951,-84.8756454,42212,33233,37007,264.358895594892
1102351,11,District of Columbia,DC,District of Columbia,Washington,Washington city,Track,Track,20008,202,271210,2414,38.9208738,-77.0462674,141845,146740,78103,91.5553514786145
39023693,39,Ohio,OH,Adams County,Saint Paris,Rome,Track,Track,43072,937,254963982,1528641,40.1538168,-83.9647388,56216,52408,36780,344.686221771261
3802554,38,North Dakota,ND,Adams County,Center,Bucyrus city,Track,Track,58530,701,1871296131,22476243,47.1180789,-101.3314198,75220,69770,50339,175.055926645349
18024165,18,Indiana,IN,Adams County,Indianapolis,Berne city,Track,Track,46220,317,2978741,0,39.8622685,-86.1504822,135085,147106,76460,165.216021851992
402713,4,Arizona,AZ,Apache County,Mesa,Chinle,Track,Track,85213,480,2544122,0,33.4445016,-111.7792986,76595,61487,59304,682.003040676681
21022409,21,Kentucky,KY,Adair County,Munfordville,Columbia city,Track,Track,42765,270,200868998,1855842,37.2300008,-85.9230438,26900,18351,41978,356.418296581658
360216344,36,New York,NY,Albany County,Flushing,Albany city,Track,Track,11367,718,289075,0,40.7293975,-73.818762,68518,56487,58234,276.02222494597
36028964,36,New York,NY,Albany County,Brooklyn,Albany city,Track,Track,11228,718,133505,0,40.6153783,-74.0107586,94679,74325,77232,142.324925928822
5302929,53,Washington,WA,Adams County,Steilacoom,Hatton,Track,Track,98388,253,1947576,0,47.1661656,-122.590846,76466,58198,59819,529.036697457545
29023624,29,Missouri,MO,Adair County,Aurora,Kirksville city,Track,Track,65605,417,12162143,60006,36.9713432,-93.7318467,41173,38141,29330,342.254317128682
20022860,20,Kansas,KS,Allen County,Topeka,Gas city,Track,Track,66612,785,5456786,172382,39.0489842,-95.6720589,34332,22708,29100,227.093804890373
18024845,18,Indiana,IN,Adams County,Bloomfield,Berne city,Track,Track,47424,812,166684138,78061,39.0693226,-86.6462516,70003,300000,48200,197.294423676536
4002833,40,Oklahoma,OK,Adair County,Tulsa,Bell,Track,Track,74106,918,1208085,0,36.169131,-95.9973961,49844,36082,50800,413.746297045635
2902114,29,Missouri,MO,Adair County,Fulton,Kirksville city,Track,Track,65251,573,215562662,3294137,38.880163,-92.0461695,71552,53193,56705,1062.7864542098
37027704,37,North Carolina,NC,Alamance County,Raleigh,Alamance,Track,Track,27612,919,3421018,0,35.8474052,-78.6720351,82354,81708,59270,573.497842705368
47023470,47,Tennessee,TN,Anderson County,Powell,Clinton city,Track,Track,37849,865,6437124,0,36.0330877,-84.0501738,37869,31120,27134,450.346954959238
220289,22,Louisiana,LA,Acadia Parish,Shreveport,Crowley city,Track,Track,71105,318,2160151,6678,32.4749329,-93.7298919,61608,50217,48425,607.105133801891
5502988,55,Wisconsin,WI,Adams County,Plover,Adams city,Track,Track,54467,715,23967892,270376,44.4591439,-89.5133239,84348,74616,58375,935.611056291347
17013647,17,Illinois,IL,Lake County,Lake Villa,Venetian Village,CDP,place,60046,847,4569028,1579412,42.405044,-88.050163,72209,69791,39834,483.735502435837
13023923,13,Georgia,GA,Appling County,Stone Mountain,Baxley city,Track,Track,30083,678,7241829,23350,33.7467447,-84.2083098,46887,38914,24319,357.121049060452
360220124,36,New York,NY,Albany County,Tarrytown,Albany city,Track,Track,10591,914,1442009,2815728,41.0771988,-73.868318,106201,300000,78840,125.425354924692
60219569,6,California,CA,Alameda County,Mission Viejo,Alameda city,Track,Track,92691,949,5604498,0,33.6829142,-117.6498083,146300,135413,68496,165.116905736416
39012082,39,Ohio,OH,Hardin County,Kenton,Kenton city,City,place,43326,419,13049370,243507,40.644541,-83.609951,41462,34614,33729,2435.08254452812
60210179,6,California,CA,Alameda County,Pasadena,Alameda city,Track,Track,91107,626,2464480,0,36.743063,-119.7933565,26936,24459,35385,275.486991279271
42026504,42,Pennsylvania,PA,Adams County,Boiling Springs,Abbottstown,Track,Track,17007,717,24741010,85770,40.1723097,-77.1388187,93694,300000,53920,487.640456776762
34025345,34,New Jersey,NJ,Atlantic County,Hamilton,Absecon city,Track,Track,8690,609,4975929,63107,40.2398983,-74.6663253,108172,300000,56548,215.452247149344
60220489,6,California,CA,Alameda County,Fountain Valley,Alameda city,Track,Track,92708,714,1273022,0,33.6939764,-117.9845192,83509,60218,66398,218.890497191604
13025833,13,Georgia,GA,Appling County,Kathleen,Baxley city,Track,Track,31047,478,32986139,1172259,32.5213601,-83.6922974,84841,77208,53315,1004.60307135628
39022583,39,Ohio,OH,Adams County,Massillon,Rome,Track,Track,44647,330,4192490,0,40.7993175,-81.5569391,50886,42353,35652,1226.39306657907
4502258,45,South Carolina,SC,Abbeville County,Charleston,Abbeville city,Track,Track,29401,843,1240135,1075737,32.786847,-79.9259028,79959,58489,76496,451.064673455686
60217859,6,California,CA,Alameda County,Canyon Country,Alameda city,Track,Track,91351,661,10767876,587,34.4620693,-118.395844,88448,300000,44857,193.384653208844
48024938,48,Texas,TX,Anderson County,Uvalde,Elkhart,Track,Track,78802,830,5546801,2201,29.2225717,-99.7755996,53462,42386,44353,686.069500794057
48029338,48,Texas,TX,Anderson County,Irving,Elkhart,Track,Track,75015,972,1881324,2461,32.8580258,-96.9849976,58034,39054,48795,360.221747156825
1022006,1,Alabama,AL,Autauga County,Eclectic,Autaugaville,Track,Track,36024,334,165330802,1570890,32.6328834,-86.0345965,51818,50579,30368,368.451033314108
2502960,25,Massachusetts,MA,Barnstable County,Braintree,Barnstable Town city,Track,Track,2184,781,3196221,101699,42.2097226,-70.9780239,102014,95752,59650,392.339658491909
1601319,16,Idaho,ID,Clark County,Dubois,Dubois city,City,place,83423,208,7064977,9714,44.171834,-112.228261,47891,35453,34518,129.396248079956
26029571,26,Michigan,MI,Alcona County,Detroit,Hubbard Lake,Track,Track,48209,313,3958988,1047762,42.3036532,-83.0973176,29067,17863,28781,128.125069688636
3402465,34,New Jersey,NJ,Atlantic County,Berlin,Absecon city,Track,Track,8009,856,9292608,33522,39.7920594,-74.9369855,89152,78483,65643,1168.75677889947
